1,2,27
27,26,1
2,3,28
28,27,2
3,4,29
29,28,3
4,5,30
30,29,4
5,6,31
31,30,5
6,7,32
32,31,6
7,8,33
33,32,7
8,9,34
34,33,8
9,10,35
35,34,9
10,11,36
36,35,10
11,12,37
37,36,11
12,13,38
38,37,12
13,14,39
39,38,13
14,15,40
40,39,14
15,16,41
41,40,15
16,17,42
42,41,16
17,18,43
43,42,17
18,19,44
44,43,18
19,20,45
45,44,19
20,21,46
46,45,20
21,22,47
47,46,21
22,23,48
48,47,22
23,24,49
49,48,23
24,25,50
50,49,24
26,27,52
52,51,26
27,28,53
53,52,27
28,29,54
54,53,28
29,30,55
55,54,29
30,31,56
56,55,30
31,32,57
57,56,31
32,33,58
58,57,32
33,34,59
59,58,33
34,35,60
60,59,34
35,36,61
61,60,35
36,37,62
62,61,36
37,38,63
63,62,37
38,39,64
64,63,38
39,40,65
65,64,39
40,41,66
66,65,40
41,42,67
67,66,41
42,43,68
68,67,42
43,44,69
69,68,43
44,45,70
70,69,44
45,46,71
71,70,45
46,47,72
72,71,46
47,48,73
73,72,47
48,49,74
74,73,48
49,50,75
75,74,49
51,52,77
77,76,51
52,53,78
78,77,52
53,54,79
79,78,53
54,55,80
80,79,54
55,56,81
81,80,55
56,57,82
82,81,56
57,58,83
83,82,57
58,59,84
84,83,58
59,60,85
85,84,59
60,61,86
86,85,60
61,62,87
87,86,61
62,63,88
88,87,62
63,64,89
89,88,63
64,65,90
90,89,64
65,66,91
91,90,65
66,67,92
92,91,66
67,68,93
93,92,67
68,69,94
94,93,68
69,70,95
95,94,69
70,71,96
96,95,70
71,72,97
97,96,71
72,73,98
98,97,72
73,74,99
99,98,73
74,75,100
100,99,74
76,77,102
102,101,76
77,78,103
103,102,77
78,79,104
104,103,78
79,80,105
105,104,79
80,81,106
106,105,80
81,82,107
107,106,81
82,83,108
108,107,82
83,84,109
109,108,83
84,85,110
110,109,84
85,86,111
111,110,85
86,87,112
112,111,86
87,88,113
113,112,87
88,89,114
114,113,88
89,90,115
115,114,89
90,91,116
116,115,90
91,92,117
117,116,91
92,93,118
118,117,92
93,94,119
119,118,93
94,95,120
120,119,94
95,96,121
121,120,95
96,97,122
122,121,96
97,98,123
123,122,97
98,99,124
124,123,98
99,100,125
125,124,99
101,102,127
127,126,101
102,103,128
128,127,102
103,104,129
129,128,103
104,105,130
130,129,104
105,106,131
131,130,105
106,107,132
132,131,106
107,108,133
133,132,107
108,109,134
134,133,108
109,110,135
135,134,109
110,111,136
136,135,110
111,112,137
137,136,111
112,113,138
138,137,112
113,114,139
139,138,113
114,115,140
140,139,114
115,116,141
141,140,115
116,117,142
142,141,116
117,118,143
143,142,117
118,119,144
144,143,118
119,120,145
145,144,119
120,121,146
146,145,120
121,122,147
147,146,121
122,123,148
148,147,122
123,124,149
149,148,123
124,125,150
150,149,124
126,127,152
152,151,126
127,128,153
153,152,127
128,129,154
154,153,128
129,130,155
155,154,129
130,131,156
156,155,130
131,132,157
157,156,131
132,133,158
158,157,132
133,134,159
159,158,133
134,135,160
160,159,134
135,136,161
161,160,135
136,137,162
162,161,136
137,138,163
163,162,137
138,139,164
164,163,138
139,140,165
165,164,139
140,141,166
166,165,140
141,142,167
167,166,141
142,143,168
168,167,142
143,144,169
169,168,143
144,145,170
170,169,144
145,146,171
171,170,145
146,147,172
172,171,146
147,148,173
173,172,147
148,149,174
174,173,148
149,150,175
175,174,149
151,152,177
177,176,151
152,153,178
178,177,152
153,154,179
179,178,153
154,155,180
180,179,154
155,156,181
181,180,155
156,157,182
182,181,156
157,158,183
183,182,157
158,159,184
184,183,158
159,160,185
185,184,159
160,161,186
186,185,160
161,162,187
187,186,161
162,163,188
188,187,162
163,164,189
189,188,163
164,165,190
190,189,164
165,166,191
191,190,165
166,167,192
192,191,166
167,168,193
193,192,167
168,169,194
194,193,168
169,170,195
195,194,169
170,171,196
196,195,170
171,172,197
197,196,171
172,173,198
198,197,172
173,174,199
199,198,173
174,175,200
200,199,174
176,177,202
202,201,176
177,178,203
203,202,177
178,179,204
204,203,178
179,180,205
205,204,179
180,181,206
206,205,180
181,182,207
207,206,181
182,183,208
208,207,182
183,184,209
209,208,183
184,185,210
210,209,184
185,186,211
211,210,185
186,187,212
212,211,186
187,188,213
213,212,187
188,189,214
214,213,188
189,190,215
215,214,189
190,191,216
216,215,190
191,192,217
217,216,191
192,193,218
218,217,192
193,194,219
219,218,193
194,195,220
220,219,194
195,196,221
221,220,195
196,197,222
222,221,196
197,198,223
223,222,197
198,199,224
224,223,198
199,200,225
225,224,199
201,202,227
227,226,201
202,203,228
228,227,202
203,204,229
229,228,203
204,205,230
230,229,204
205,206,231
231,230,205
206,207,232
232,231,206
207,208,233
233,232,207
208,209,234
234,233,208
209,210,235
235,234,209
210,211,236
236,235,210
211,212,237
237,236,211
212,213,238
238,237,212
213,214,239
239,238,213
214,215,240
240,239,214
215,216,241
241,240,215
216,217,242
242,241,216
217,218,243
243,242,217
218,219,244
244,243,218
219,220,245
245,244,219
220,221,246
246,245,220
221,222,247
247,246,221
222,223,248
248,247,222
223,224,249
249,248,223
224,225,250
250,249,224
226,227,252
252,251,226
227,228,253
253,252,227
228,229,254
254,253,228
229,230,255
255,254,229
230,231,256
256,255,230
231,232,257
257,256,231
232,233,258
258,257,232
233,234,259
259,258,233
234,235,260
260,259,234
235,236,261
261,260,235
236,237,262
262,261,236
237,238,263
263,262,237
238,239,264
264,263,238
239,240,265
265,264,239
240,241,266
266,265,240
241,242,267
267,266,241
242,243,268
268,267,242
243,244,269
269,268,243
244,245,270
270,269,244
245,246,271
271,270,245
246,247,272
272,271,246
247,248,273
273,272,247
248,249,274
274,273,248
249,250,275
275,274,249
